Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Continent,Renewable-electricity-generating-capacity-per-capita_normalized,Primary energy consumption per capita (kWh/person)_normalized
Switzerland,2020,100.0,100.0,,,,3.62,22.99,40.79,94.62908,35766.375,,,36.21057,-2.392826042,87097.03645,219,41277.0,46.818188,8.227512,Europe,,19.430373757242716
Tajikistan,2020,99.7793,82.4,552.88,,,1.62,0.0,18.11,91.789154,7819.3896,,,,4.499999517,859.1379611,68,144100.0,38.861034,71.276093,Asia,18.26694951657778,4.2479469189006895
Thailand,2020,100.0,83.6,171.79,,,154.52,0.0,24.73,13.796373,19298.086,,,6.9914207,-6.098983843,7186.874092,137,513120.0,15.870032,100.992541,Asia,5.674511125650125,10.483841982292393
Togo,2020,53.997433,10.1,8.72,,,0.43,0.0,0.15,25.862072,1152.5186,,,,1.752824967,914.9507925,152,56785.0,8.619543,0.824782,Africa,0.2861542325052704,0.6261150916237421
Tonga,2020,100.0,84.1,73.33,,,0.06,0.0,0.01,14.285714,6542.066,,,,0.654698596,4624.823449,147,747.0,-21.178986,-175.198242,Oceania,2.4210762835636443,3.554030497207219
Trinidad and Tobago,2020,100.0,100.0,2.15,,,8.2,0.0,0.01,0.12180268,108794.93,,,0.007312009,-7.853939948,15425.63511,273,5128.0,10.691803,-61.222503,North America,0.06906031708268073,59.103729488746296
Tunisia,2020,100.0,99.8,33.92,,,18.73,0.0,0.85,4.3411646,9290.702,,,,-9.182372594,3521.591948,76,163610.0,33.886917,9.537499,Africa,1.118843223167258,5.0472493320098115
Turkey,2020,100.0,95.2,585.71,,,177.08,0.0,128.34,42.02082,21435.07,,,19.15011,1.793551396,8536.43332,110,783562.0,38.963745,35.243322,Asia,19.35175822941243,11.64477589950507
Turkmenistan,2020,100.0,99.9,0.2,,,20.11,0.0,0.0,0.0,67626.92,,,0.007161147,,,13,488100.0,38.969719,59.556278,Asia,0.004626049948122154,36.73887363902975
Tuvalu,2020,99.68923,70.6,196.07,,,,,,,0.0,,,,4.4,4143.109753,393,26.0,-7.109535,177.64933,Oceania,6.476800359510166,0.0
